Molecule	HMDB	GT15_2013_1	GT15_2013_3	GT15_2013_4	GT15_2024_1	GT15_2024_2	GT15_2024_3	GT15_2024_4
Ala-Asp	HMDB0028683	4.88E+05	3.55E+05	2.53E+05	7.76E+05	7.67E+05	5.99E+05	1.69E+05
Alanine	161	1.38E+08	4.57E+07	1.52E+08	3.18E+08	3.12E+08	3.53E+08	3.83E+07
Alanine-IS		5.19E+08	5.04E+08	4.82E+08	3.16E+08	2.98E+08	4.58E+08	5.11E+08
Alanyl-Alanine	HMDB0028680	6.91E+05	1.51E+05	3.98E+05	6.83E+06	7.08E+06	1.66E+06	3.42E+05
Alanylglutamic acid	HMDB0028686	2.35E+08	9.13E+07	3.05E+08	1.12E+08	1.12E+08	1.70E+08	3.00E+08
Alanyl-Glycine	HMDB0028687	3.17E+06	1.45E+06	3.00E+06	5.21E+07	5.20E+07	1.85E+07	3.69E+06
Alanylisoleucine	28690	2.85E+06	3.63E+06	3.42E+06	5.35E+06	4.41E+06	3.16E+06	2.35E+06
Alanyl-Leucine	28691	2.85E+06	3.63E+06	3.42E+06	5.35E+06	4.41E+06	3.16E+06	2.35E+06
Alanylmethionine	28693	1.17E+06	6.67E+05	8.42E+05	1.60E+06	9.55E+05	7.48E+05	4.18E+05
Alanyl-Threonine	28697	1.67E+06	2.96E+06	2.82E+06	1.69E+06	1.60E+06	1.92E+06	1.05E+06
Alanyl-Tryptophan	28698	1.65E+06	1.74E+05	1.89E+06	1.32E+06	1.37E+06	1.44E+06	8.51E+05
Alanyltyrosine	HMDB0028699	3.17E+05	1.49E+05	3.10E+05	2.29E+05	3.88E+05	1.99E+05	2.01E+05
Allothreonine	HMDB0004041	8.76E+06	8.59E+06	1.26E+07	4.16E+07	4.34E+07	4.12E+07	7.11E+06
Alpha-Hydroxyisobutyrate	HMDB0000729	3.68E+07	4.98E+06	6.96E+06	2.64E+07	2.52E+07	2.11E+06	1.13E+07
alphaKetoglutarate	HMDB0000208	1.19E+07	4.25E+06	5.18E+06	1.28E+07	1.27E+07	5.41E+06	6.23E+06
Anserine	194	8.82E+05	2.14E+05	7.88E+05	6.61E+05	7.66E+05	9.62E+05	6.49E+05
Arachidic acid	HMDB0002212	3.04E+08	1.63E+09	1.04E+09	3.08E+09	3.05E+09	6.76E+08	4.71E+08
Arginine	HMDB0000517	7.61E+06	1.97E+06	5.20E+06	3.45E+07	4.17E+07	1.65E+07	2.54E+06
Argininosuccinate	HMDB0000052	3.23E+04	1.77E+04	3.04E+04	3.24E+04	3.21E+04	1.96E+04	1.50E+04
Asparagine	HMDB0000168	8.29E+05	9.70E+05	1.24E+06	3.22E+06	3.12E+06	1.57E+06	5.68E+05
Asparaginyl-lysine	HMDB0004987	1.42E+06	2.55E+06	1.39E+06	2.39E+06	1.42E+06	1.22E+06	7.60E+05
Aspartate	HMDB0000191	1.75E+07	6.62E+06	2.81E+07	1.84E+07	1.93E+07	3.19E+07	3.24E+07
Asymmetric dimethylarginine	HMDB0001539	4.06E+06	2.20E+05	5.81E+06	8.93E+06	8.58E+06	4.60E+06	1.58E+06
Azelate	784	7.73E+07	9.51E+07	5.34E+07	1.05E+08	8.75E+07	5.66E+07	7.55E+07
Behenic acid	HMDB0000944	5.46E+07	2.95E+08	2.48E+08	3.33E+08	3.31E+08	1.04E+08	1.62E+07
Benzyl Alcohol	3119	9.61E+05	2.39E+05	1.22E+06	2.10E+06	2.13E+06	1.38E+06	5.86E+05
Beta-Glycerophosphate	HMDB0002520	3.87E+06	9.08E+05	5.49E+06	2.37E+07	2.58E+07	7.23E+06	6.39E+06
Beta-Guanidinopropionic acid	13222	3.39E+06	5.54E+05	3.78E+06	1.02E+07	1.04E+07	1.38E+07	1.23E+06
beta-Hydroxyisovaleric acid	HMDB0000754	2.12E+05	2.98E+05	1.94E+05	2.38E+05	1.30E+05	9.00E+04	3.37E+04
Betaine	HMDB0000043	1.76E+09	1.73E+08	2.53E+09	5.68E+09	5.83E+09	4.33E+09	9.75E+08
Valine	HMDB0000043	1.09E+06	1.12E+06	1.59E+06	1.15E+07	1.19E+07	5.88E+06	6.89E+05
Beta-Tyrosine	3831	3.48E+07	1.84E+07	7.82E+07	2.59E+08	2.76E+08	1.43E+08	1.27E+07
Biotin	HMDB0000030	6.96E+04	2.57E+04	4.59E+04	5.56E+04	5.82E+04	7.48E+04	3.36E+04
Butyric acid	39	6.45E+07	1.26E+07	4.21E+07	1.17E+08	1.16E+08	7.35E+07	1.08E+07
Butyryl-L-carnitine	2013	1.74E+06	2.01E+06	1.34E+06	1.42E+06	1.04E+06	1.88E+06	2.16E+06
Carnitine	HMDB0000062	1.26E+06	4.71E+05	1.85E+06	2.45E+06	2.53E+06	2.24E+06	1.21E+06
Choline	HMDB0000097	8.72E+08	9.99E+07	1.23E+09	2.71E+09	2.86E+09	1.70E+09	5.21E+08
cis Aconitate	72	6.09E+05	2.29E+05	4.55E+05	2.82E+05	1.62E+05	6.25E+05	8.19E+05
cis-10-Nonadecenoic acid	13622	7.34E+06	3.11E+07	1.27E+07	4.97E+06	1.17E+07	6.36E+06	1.71E+07
cis-11-Eicosenoic acid	2231	2.88E+07	8.79E+07	5.11E+07	6.36E+07	6.29E+07	2.75E+07	4.90E+07
cis-5-Dodecenoic acid	529	1.20E+07	0.00E+00	1.13E+07	2.07E+07	1.00E+07	1.63E+07	2.36E+06
Citramalic acid	426	1.35E+07	7.60E+05	2.12E+07	1.01E+07	1.17E+07	3.45E+07	1.01E+07
Citrate	HMDB0000094	1.15E+07	1.81E+06	8.15E+06	6.44E+06	1.23E+07	2.00E+07	1.42E+07
Citrulline	HMDB0000904	1.13E+06	3.02E+05	8.96E+05	1.31E+06	1.30E+06	1.46E+06	5.84E+06
Coenzyme A	HMDB0001423	1.37E+06	1.94E+04	2.26E+06	8.50E+04	8.17E+04	9.35E+05	4.88E+04
Creatine	HMDB0000064	9.10E+05	1.58E+05	9.89E+05	2.62E+06	2.74E+06	3.78E+06	3.36E+05
Cyclic GMP	HMDB0001314	1.41E+07	1.05E+07	2.26E+07	2.16E+07	2.18E+07	9.41E+06	9.30E+06
Cysteine-S-sulfate	HMDB0000731	2.23E+06	1.80E+06	1.58E+06	2.49E+06	1.89E+06	2.94E+06	3.48E+06
Cystine	HMDB0000192	8.80E+06	1.39E+06	6.55E+06	7.19E+06	7.32E+06	9.87E+06	2.33E+06
Cytidine	HMDB0000089	4.44E+06	8.48E+06	7.01E+06	3.14E+07	3.27E+07	8.19E+06	1.51E+07
Cytidine Diphosphate (CDP)	HMDB0001546	7.32E+05	1.33E+05	8.94E+05	2.58E+06	4.89E+06	4.86E+06	2.48E+06
Cytidine Monophosphate (CMP)	HMDB0000095	2.26E+06	7.93E+05	3.14E+06	8.05E+06	8.39E+06	4.75E+06	3.47E+06
Cytosine	HMDB0000630	3.03E+07	4.45E+07	4.95E+07	1.63E+08	1.78E+08	5.84E+07	1.02E+08
D-Alanyl-D-alanine	3459	2.10E+06	2.67E+06	3.51E+06	3.51E+06	3.08E+06	5.52E+06	1.22E+06
Decanoic acid	511	1.34E+07	1.73E+06	1.16E+07	2.05E+07	1.82E+07	2.05E+07	1.20E+07
Deoxyadenosine	HMDB0000101	5.20E+05	4.70E+05	1.01E+05	4.34E+06	3.10E+06	9.76E+05	2.50E+05
Deoxyadenosine Monophosphate (dAMP)	HMDB0000905	2.63E+06	2.28E+05	3.98E+06	1.88E+07	2.34E+07	6.63E+06	4.41E+05
Deoxycytidine Monophosphate (dCMP)	HMDB0001202	7.86E+04	2.23E+04	8.64E+04	6.32E+05	7.05E+05	1.45E+05	4.04E+04
Deoxycytidine Triphosphate (dCTP)	998	3.09E+04	8.81E+03	6.53E+04	5.70E+04	1.28E+05	3.97E+05	5.23E+04
Deoxyguanosine-Monophosphate (dGMP)	1044	8.31E+08	1.18E+08	1.14E+09	3.01E+09	3.21E+09	2.26E+09	5.69E+08
Deoxyinosine	HMDB0000071	3.05E+05	3.97E+04	3.24E+05	1.17E+06	1.18E+06	6.09E+05	6.05E+04
Deoxyribose	HMDB0003224	4.55E+04	2.97E+04	5.00E+04	1.86E+05	2.30E+05	7.56E+04	5.82E+04
Deoxyuridine	12	2.79E+07	2.10E+07	3.11E+07	2.50E+07	2.55E+07	1.77E+07	1.64E+07
Deoxyuridine Diphosphate (dUDP)	1000	4.06E+05	4.90E+02	2.29E+05	2.76E+06	5.88E+06	1.60E+06	8.44E+06
Deoxyuridine Monophosphate (dUMP)	1409	1.06E+05	4.55E+03	4.41E+04	9.51E+04	1.82E+05	4.98E+04	6.33E+04
Dethiobiotin	HMDB0003581	4.75E+04	9.66E+04	4.21E+04	9.73E+05	8.62E+05	1.16E+06	7.82E+05
D-Glucosamine 6-phosphate	HMDB0001254	4.15E+05	8.00E+04	5.71E+05	6.80E+06	1.18E+07	3.01E+06	5.15E+05
Diaminopimelate	HMDB0001370	5.59E+07	1.61E+07	8.89E+07	5.61E+07	5.60E+07	5.54E+07	1.09E+08
Dihydrobiopterin	HMDB0000038	1.43E+07	5.58E+05	2.35E+07	1.27E+08	1.69E+08	4.58E+07	1.32E+05
Dihydroferulic acid	HMDB0062121	6.27E+05	4.53E+04	5.63E+05	1.42E+06	1.56E+06	6.87E+05	4.57E+04
Dihydronicotinamide-adenine dinucleotide phosphate (NADPH)	HMDB0000221	9.35E+03	8.10E+03	1.12E+04	4.87E+04	1.17E+05	1.38E+04	9.03E+03
Dihydroxyacetone Phosphate (DHAP)	1473	3.62E+04	3.58E+03	3.28E+04	2.98E+05	4.22E+05	1.79E+05	9.31E+04
Dipalmitoyl-Phosphoethanolamine	HMDB0246972	1.32E+08	1.52E+08	9.49E+07	1.21E+08	1.77E+08	2.06E+08	2.15E+08
DL-Methionine sulfoxide	HMDB0002005	3.45E+07	5.48E+06	4.26E+07	9.42E+07	9.81E+07	4.12E+07	3.84E+07
Ectoine	240650	4.41E+06	1.81E+06	6.83E+06	1.06E+07	9.84E+06	1.11E+07	4.52E+06
epsilon-(gamma-Glutamyl)lysine	HMDB0003869	4.17E+05	5.81E+05	5.67E+05	6.63E+05	5.83E+05	2.90E+05	5.07E+05
Equol	2209	4.32E+05	1.34E+05	2.65E+05	7.35E+05	8.10E+05	3.26E+05	1.10E+05
Erucic acid	2068	1.66E+07	1.64E+07	2.67E+07	4.28E+07	2.31E+07	3.33E+07	2.70E+07
Erythronic acid	613	2.49E+07	4.09E+06	7.10E+07	1.29E+08	1.29E+08	1.65E+08	8.78E+06
FAD (Flavin adenine dinucleotide)	HMDB0001248	1.57E+07	9.06E+06	1.83E+07	3.07E+07	2.92E+07	2.94E+07	1.31E+07
Formiminoglutamic acid	854	1.11E+07	1.18E+06	2.80E+07	1.36E+07	1.44E+07	1.94E+07	2.18E+06
Fructose 6-Phosphate	HMDB0000124	1.89E+06	2.55E+05	2.31E+06	3.31E+07	3.78E+07	1.41E+07	7.22E+06
Fumarate	134	9.92E+05	1.40E+05	1.00E+06	8.44E+05	1.02E+06	1.31E+06	1.62E+06
Galactosamine		2.50E+06	1.11E+06	4.14E+06	1.75E+07	1.84E+07	7.32E+06	1.55E+06
Galactose 1-Phosphate	645	1.55E+06	9.17E+04	1.11E+06	1.72E+07	2.05E+07	7.79E+06	4.35E+06
gamma-Aminobutyric acid	HMDB0000112	2.98E+06	2.26E+06	2.53E+06	4.26E+06	4.00E+06	4.94E+06	2.35E+06
Gamma-glutamylglutamate	HMDB0011737	1.51E+06	4.48E+05	1.27E+06	2.38E+06	2.59E+06	2.10E+06	9.90E+05
Gamma-Glutamylglycine	11667	1.10E+07	1.51E+06	3.70E+06	2.26E+07	2.47E+07	1.81E+07	2.15E+06
Gamma-glutamylhistidine	29151	8.77E+05	6.26E+05	7.47E+05	1.61E+06	1.49E+06	1.11E+06	4.35E+05
Gamma-glutamylleucine	HMDB0011171	2.50E+06	8.52E+05	6.42E+05	6.09E+07	6.59E+07	1.50E+05	1.01E+06
Geranyl pyrophosphate	HMDB0001285	1.83E+06	1.19E+05	1.95E+06	9.42E+05	1.05E+06	1.29E+06	1.03E+06
Glucosamine	1514	9.20E+06	3.34E+06	1.62E+07	7.21E+07	7.08E+07	2.70E+07	5.81E+06
Glucose	HMDB0000122	6.16E+06	1.76E+06	6.19E+06	1.90E+07	1.96E+07	1.90E+07	3.46E+06
Glucose 6-Phosphate	HMDB0001401	5.55E+05	9.73E+04	4.00E+05	2.56E+06	2.58E+06	1.10E+06	6.59E+05
